smiles,expt,calc,atoms,bonds,charges
CC[N+](=O)[O-],-3.71,-1.839,"c3,c3,no,o,o,hc,hc,hc,h1,h1","1-2,1-6,1-7,1-8,2-3,2-9,2-10,3-4,3-5","-0.112100,-0.075700,0.228299,-0.210500,-0.210500,0.064367,0.064367,0.064367,0.093700,0.093700"
c1cc(cnc1)Cl,-4.01,-2.767,"ca,ca,ca,ca,nb,ca,cl,ha,ha,h4,h4","1-2,1-6,1-8,2-3,2-9,3-4,3-7,4-5,4-10,5-6,6-11","-0.237300,-0.088000,-0.106900,0.403200,-0.654000,0.393200,-0.074400,0.149000,0.152000,0.036100,0.027100"
CBr,-0.82,0.46,"c3,br,h1,h1,h1","1-2,1-3,1-4,1-5","-0.039700,-0.166400,0.068700,0.068700,0.068700"
CO,-5.1,-3.491,"c3,oh,h1,h1,h1,ho","1-2,1-3,1-4,1-5,2-6","0.116700,-0.598800,0.028700,0.028700,0.028700,0.396000"
CCCCCCC=O,-2.67,-2.704,"c3,c3,c3,c3,c3,c3,c,o,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h4","1-2,1-9,1-10,1-11,2-3,2-12,2-13,3-4,3-14,3-15,4-5,4-16,4-17,5-6,5-18,5-19,6-7,6-20,6-21,7-8,7-22","-0.093100,-0.080400,-0.078400,-0.081400,-0.076400,-0.203400,0.565901,-0.530100,0.033033,0.033033,0.033033,0.038700,0.038700,0.042200,0.042200,0.042200,0.042200,0.045200,0.045200,0.074200,0.074200,-0.006800"
c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28,-1.226,"ca,ca,ca,cp,ca,ca,cl,cp,ca,ca,ca,ca,ca,cl,cl,cl,ha,ha,ha,ha,ha,ha","1-2,1-6,1-17,2-3,2-18,3-4,3-16,4-5,4-8,5-6,5-7,6-19,8-9,8-13,9-10,9-15,10-11,10-20,11-12,11-21,12-13,12-22,13-14","-0.105000,-0.129000,0.049400,-0.033000,0.049400,-0.129000,-0.074400,-0.033000,0.049400,-0.129000,-0.105000,-0.129000,0.049400,-0.074400,-0.074400,-0.074400,0.143000,0.151500,0.151500,0.151500,0.143000,0.151500"
c1ccc(c(c1)N)[N+](=O)[O-],-7.37,-7.66,"ca,ca,ca,ca,ca,ca,nv,no,o,o,ha,ha,ha,ha,hn,hn","1-2,1-6,1-11,2-3,2-12,3-4,3-13,4-5,4-8,5-6,5-7,6-14,7-15,7-16,8-9,8-10","-0.034000,-0.206000,-0.020000,-0.284200,0.282600,-0.239000,-0.862200,0.327200,-0.232000,-0.232000,0.140000,0.147000,0.168000,0.141000,0.451800,0.451800"
CN1CCCCC1,-3.88,-3.467,"c3,n3,c6,c6,c6,c6,c6,h1,h1,h1,h1,h1,hc,hc,hc,hc,hc,hc,h1,h1","1-2,1-8,1-9,1-10,2-3,2-7,3-4,3-11,3-12,4-5,4-13,4-14,5-6,5-15,5-16,6-7,6-17,6-18,7-19,7-20","0.158100,-0.731601,0.170800,-0.077400,-0.078400,-0.077400,0.170800,0.030367,0.030367,0.030367,0.027700,0.027700,0.046200,0.046200,0.039200,0.039200,0.046200,0.046200,0.027700,0.027700"
CCCCCCCC=O,-2.29,-2.57,"c3,c3,c3,c3,c3,c3,c3,c,o,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h4","1-2,1-10,1-11,1-12,2-3,2-13,2-14,3-4,3-15,3-16,4-5,4-17,4-18,5-6,5-19,5-20,6-7,6-21,6-22,7-8,7-23,7-24,8-9,8-25","-0.093100,-0.079400,-0.078400,-0.079400,-0.081400,-0.076400,-0.203400,0.565901,-0.530100,0.033033,0.033033,0.033033,0.038700,0.038700,0.039200,0.039200,0.042700,0.042700,0.041700,0.041700,0.045200,0.045200,0.074200,0.074200,-0.006800"
c1ccc(cc1)[N+](=O)[O-],-4.12,-3.46,"ca,ca,ca,ca,ca,ca,no,o,o,ha,ha,ha,ha,ha","1-2,1-6,1-10,2-3,2-11,3-4,3-12,4-5,4-7,5-6,5-13,6-14,7-8,7-9","-0.088000,-0.140000,-0.068000,-0.176200,-0.068000,-0.140000,0.316200,-0.209000,-0.209000,0.144000,0.148000,0.171000,0.171000,0.148000"
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,-3.523,"c3,c6,c6,c6,c6,c,o,c6,c3,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-12,1-13,1-14,2-3,2-8,2-15,3-4,3-16,3-17,4-5,4-18,4-19,5-6,5-9,5-20,6-7,6-8,8-21,8-22,9-10,9-11,9-23,10-24,10-25,10-26,11-27,11-28,11-29","-0.091100,-0.059700,-0.081400,-0.071400,-0.156700,0.578101,-0.532100,-0.182400,-0.048700,-0.097600,-0.097600,0.037033,0.037033,0.037033,0.055700,0.045200,0.045200,0.049700,0.049700,0.066700,0.067700,0.067700,0.040700,0.040200,0.040200,0.040200,0.040200,0.040200,0.040200"
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47,-18.095,"c3,c6,c6,c6,c6,c6,os,oh,oh,oh,oh,oh,h1,h1,h1,h1,h1,h1,h2,ho,ho,ho,ho,ho","1-2,1-12,1-13,1-14,2-3,2-7,2-15,3-4,3-11,3-16,4-5,4-10,4-17,5-6,5-9,5-18,6-7,6-8,6-19,8-20,9-21,10-22,11-23,12-24","0.145400,0.108100,0.087100,0.068100,0.054100,0.315900,-0.443600,-0.569800,-0.567800,-0.590800,-0.606800,-0.594800,0.058700,0.058700,0.070700,0.051700,0.084700,0.090700,0.079700,0.424000,0.409000,0.416000,0.431000,0.420000"
CF,-0.22,0.881,"c3,f,h1,h1,h1","1-2,1-3,1-4,1-5","0.148200,-0.249300,0.033700,0.033700,0.033700"
CS(=O)C,-9.28,-8.243,"c3,s4,o,c3,h1,h1,h1,h1,h1,h1","1-2,1-5,1-6,1-7,2-3,2-4,4-8,4-9,4-10","-0.130800,0.268600,-0.507202,-0.130800,0.083367,0.083367,0.083367,0.083367,0.083367,0.083367"
c1ccc2c(c1)Oc3ccccc3O2,-3.15,-4.9,"ca,ca,ca,ca,ca,ca,os,ca,ca,ca,ca,ca,ca,os,ha,ha,ha,ha,ha,ha,ha,ha","1-2,1-6,1-15,2-3,2-16,3-4,3-17,4-5,4-14,5-6,5-7,6-18,7-8,8-9,8-13,9-10,9-19,10-11,10-20,11-12,11-21,12-13,12-22,13-14","-0.128000,-0.128000,-0.182300,0.212700,0.212700,-0.182300,-0.390800,0.212700,-0.182300,-0.128000,-0.128000,-0.182300,0.212700,-0.390800,0.139000,0.139000,0.154000,0.154000,0.154000,0.139000,0.139000,0.154000"
Cc1ccccc1N,-5.53,-5.325,"c3,ca,ca,ca,ca,ca,ca,nv,hc,hc,hc,ha,ha,ha,ha,hn,hn","1-2,1-9,1-10,1-11,2-3,2-7,3-4,3-12,4-5,4-13,5-6,5-14,6-7,6-15,7-8,8-16,8-17","-0.047800,-0.135300,-0.094000,-0.170000,-0.097000,-0.189000,0.136600,-0.815200,0.040700,0.040700,0.040700,0.128000,0.130000,0.129000,0.129000,0.386800,0.386800"
CCCCBr,-0.4,0.705,"c3,c3,c3,c3,br,hc,hc,hc,hc,hc,hc,hc,h1,h1","1-2,1-6,1-7,1-8,2-3,2-9,2-10,3-4,3-11,3-12,4-5,4-13,4-14","-0.094100,-0.085400,-0.078400,-0.007000,-0.182401,0.033367,0.033367,0.033367,0.049200,0.049200,0.052700,0.052700,0.071700,0.071700"
CCCCCCCCCO,-3.88,-2.564,"c3,c3,c3,c3,c3,c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1,ho","1-2,1-11,1-12,1-13,2-3,2-14,2-15,3-4,3-16,3-17,4-5,4-18,4-19,5-6,5-20,5-21,6-7,6-22,6-23,7-8,7-24,7-25,8-9,8-26,8-27,9-10,9-28,9-29,10-30","-0.092100,-0.079400,-0.078400,-0.078400,-0.078400,-0.080400,-0.079400,-0.123400,0.127400,-0.599801,0.032367,0.032367,0.032367,0.038200,0.038200,0.038700,0.038700,0.040200,0.040200,0.040200,0.040200,0.040700,0.040700,0.038200,0.038200,0.053700,0.053700,0.044200,0.044200,0.397000"
Cc1ccncc1,-4.93,-3.343,"c3,ca,ca,ca,nb,ca,ca,hc,hc,hc,ha,h4,h4,ha","1-2,1-8,1-9,1-10,2-3,2-7,3-4,3-11,4-5,4-12,5-6,6-7,6-13,7-14","-0.060800,-0.038300,-0.249300,0.395200,-0.668999,0.395200,-0.249300,0.050033,0.050033,0.050033,0.142000,0.021100,0.021100,0.142000"
C(=C(Cl)Cl)(Cl)Cl,0.1,1.328,"c2,c2,cl,cl,cl,cl","1-2,1-5,1-6,2-3,2-4","0.062800,0.062800,-0.031400,-0.031400,-0.031400,-0.031400"
CC(C)(C)Br,0.84,0.438,"c3,c3,c3,c3,br,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-6,1-7,1-8,2-3,2-4,2-5,3-9,3-10,3-11,4-12,4-13,4-14","-0.093100,0.047400,-0.093100,-0.093100,-0.197400,0.047700,0.047700,0.047700,0.047700,0.047700,0.047700,0.047700,0.047700,0.047700"
C=C(c1ccccc1)c2ccccc2,-2.78,-2.47,"c2,ce,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha","1-2,1-15,1-16,2-3,2-9,3-4,3-8,4-5,4-17,5-6,5-18,6-7,6-19,7-8,7-20,8-21,9-10,9-14,10-11,10-22,11-12,11-23,12-13,12-24,13-14,13-25,14-26","-0.201000,-0.009400,-0.055800,-0.117000,-0.133000,-0.127000,-0.133000,-0.117000,-0.055800,-0.117000,-0.133000,-0.127000,-0.133000,-0.117000,0.119000,0.119000,0.137500,0.131500,0.131000,0.131500,0.137500,0.137500,0.131500,0.131000,0.131500,0.137500"
CCc1ccc(cc1)C,-0.95,-0.575,"c3,c3,ca,ca,ca,ca,ca,ca,c3,hc,hc,hc,hc,hc,ha,ha,ha,ha,hc,hc,hc","1-2,1-10,1-11,1-12,2-3,2-13,2-14,3-4,3-8,4-5,4-15,5-6,5-16,6-7,6-9,7-8,7-17,8-18,9-19,9-20,9-21","-0.089100,-0.037100,-0.081300,-0.124500,-0.128500,-0.080300,-0.128500,-0.124500,-0.052800,0.035700,0.035700,0.035700,0.045700,0.045700,0.129750,0.129750,0.129750,0.129750,0.043033,0.043033,0.043033"
Cc1cccnc1,-4.77,-3.221,"c3,ca,ca,ca,ca,nb,ca,hc,hc,hc,ha,ha,h4,h4","1-2,1-8,1-9,1-10,2-3,2-7,3-4,3-11,4-5,4-12,5-6,5-13,6-7,7-14","-0.050800,-0.191600,-0.096000,-0.242300,0.387200,-0.660999,0.392200,0.047033,0.047033,0.047033,0.137000,0.142000,0.021100,0.021100"
COCC(OC)(OC)OC,-5.73,-5.436,"c3,os,c3,c3,os,c3,os,c3,os,c3,h1,h1,h1,h1,h1,h1,h1,h1,h1,h1,h1,h1,h1,h1","1-2,1-11,1-12,1-13,2-3,3-4,3-14,3-15,4-5,4-7,4-9,5-6,6-16,6-17,6-18,7-8,8-19,8-20,8-21,9-10,10-22,10-23,10-24","0.103700,-0.409600,0.115400,0.498405,-0.452267,0.133033,-0.452267,0.133033,-0.452267,0.133033,0.040033,0.040033,0.040033,0.076200,0.076200,0.041922,0.041922,0.041922,0.041922,0.041922,0.041922,0.041922,0.041922,0.041922"
c1ccc-2c(c1)Cc3c2cccc3,-3.35,-4.269,"ca,ca,ca,cp,ca,ca,c5,ca,cp,ca,ca,ca,ca,ha,ha,ha,ha,hc,hc,ha,ha,ha,ha","1-2,1-6,1-14,2-3,2-15,3-4,3-16,4-5,4-9,5-6,5-7,6-17,7-8,7-18,7-19,8-9,8-13,9-10,10-11,10-20,11-12,11-21,12-13,12-22,13-23","-0.126000,-0.133000,-0.104000,-0.041000,-0.084300,-0.118000,0.005200,-0.084300,-0.041000,-0.104000,-0.133000,-0.126000,-0.118000,0.131000,0.131000,0.135000,0.134000,0.072700,0.072700,0.135000,0.131000,0.131000,0.134000"
CC(=O)N,-9.71,-8.82,"c3,c,o,nt,hc,hc,hc,hn,hn","1-2,1-5,1-6,1-7,2-3,2-4,4-8,4-9","-0.174100,0.656100,-0.613100,-0.685001,0.065367,0.065367,0.065367,0.310000,0.310000"
COS(=O)(=O)OC,-5.1,-8.411,"c3,os,s6,o,o,os,c3,h1,h1,h1,h1,h1,h1","1-2,1-8,1-9,1-10,2-3,3-4,3-5,3-6,6-7,7-11,7-12,7-13","0.172700,-0.586500,1.839002,-0.655800,-0.655800,-0.586500,0.172700,0.050033,0.050033,0.050033,0.050033,0.050033,0.050033"
C(C(Cl)Cl)(Cl)Cl,-2.37,-0.534,"c3,c3,cl,cl,cl,cl,h2,h2","1-2,1-5,1-6,1-7,2-3,2-4,2-8","0.122100,0.122100,-0.117900,-0.117900,-0.117900,-0.117900,0.113700,0.113700"
COC(=O)C1CCCCC1,-3.3,-4.376,"c3,os,c,o,c6,c6,c6,c6,c6,c6,h1,h1,h1,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-11,1-12,1-13,2-3,3-4,3-5,5-6,5-10,5-14,6-7,6-15,6-16,7-8,7-17,7-18,8-9,8-19,8-20,9-10,9-21,9-22,10-23,10-24","0.124700,-0.438900,0.629101,-0.542000,-0.103700,-0.073400,-0.076400,-0.079400,-0.076400,-0.073400,0.050033,0.050033,0.050033,0.081700,0.054200,0.054200,0.043700,0.043700,0.043200,0.043200,0.043700,0.043700,0.054200,0.054200"
CCCCCCBr,0.18,1.076,"c3,c3,c3,c3,c3,c3,br,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-13,3-14,4-5,4-15,4-16,5-6,5-17,5-18,6-7,6-19,6-20","-0.093100,-0.080400,-0.079400,-0.084400,-0.078400,-0.007000,-0.182401,0.033367,0.033367,0.033367,0.037700,0.037700,0.040200,0.040200,0.049700,0.049700,0.053200,0.053200,0.071700,0.071700"
CCCCCCCBr,0.34,1.223,"c3,c3,c3,c3,c3,c3,c3,br,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1","1-2,1-9,1-10,1-11,2-3,2-12,2-13,3-4,3-14,3-15,4-5,4-16,4-17,5-6,5-18,5-19,6-7,6-20,6-21,7-8,7-22,7-23","-0.093100,-0.079400,-0.078400,-0.079400,-0.084400,-0.078400,-0.007000,-0.183399,0.033033,0.033033,0.033033,0.038700,0.038700,0.038200,0.038200,0.040700,0.040700,0.049700,0.049700,0.053200,0.053200,0.071700,0.071700"
c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,-4.473,"ca,ca,ca,ca,ca,ca,os,ca,ca,ca,ca,ca,ca,os,cl,ha,ha,ha,ha,ha,ha,ha","1-2,1-6,1-16,2-3,2-17,3-4,3-18,4-5,4-14,5-6,5-7,6-19,7-8,8-9,8-13,9-10,9-20,10-11,10-21,11-12,11-22,12-13,12-15,13-14","-0.126000,-0.126000,-0.178300,0.211700,0.210700,-0.180300,-0.392800,0.221700,-0.183300,-0.119000,-0.126000,-0.039900,0.218700,-0.379800,-0.060400,0.140000,0.141000,0.157000,0.155000,0.158000,0.145000,0.153000"
COC(CC#N)(OC)OC,-6.4,-5.859,"c3,os,c3,c3,c1,n1,os,c3,os,c3,h1,h1,h1,hc,hc,h1,h1,h1,h1,h1,h1","1-2,1-11,1-12,1-13,2-3,3-4,3-7,3-9,4-5,4-14,4-15,5-6,7-8,8-16,8-17,8-18,9-10,10-19,10-20,10-21","0.133367,-0.450600,0.535398,-0.042300,0.213700,-0.362800,-0.450600,0.133367,-0.450600,0.133367,0.044589,0.044589,0.044589,0.103200,0.103200,0.044589,0.044589,0.044589,0.044589,0.044589,0.044589"
CC[C@H](C)Cl,0.0,0.927,"c3,c3,c3,c3,cl,hc,hc,hc,hc,hc,h1,hc,hc,hc","1-2,1-6,1-7,1-8,2-3,2-9,2-10,3-4,3-5,3-11,4-12,4-13,4-14","-0.095100,-0.089400,0.062700,-0.103100,-0.214399,0.037033,0.037033,0.037033,0.056200,0.056200,0.069700,0.048700,0.048700,0.048700"
CCCCCCc1ccccc1,-0.04,-0.1,"c3,c3,c3,c3,c3,c3,ca,ca,ca,ca,ca,ca,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,ha,ha,ha,ha,ha","1-2,1-13,1-14,1-15,2-3,2-16,2-17,3-4,3-18,3-19,4-5,4-20,4-21,5-6,5-22,5-23,6-7,6-24,6-25,7-8,7-12,8-9,8-26,9-10,9-27,10-11,10-28,11-12,11-29,12-30","-0.092100,-0.079400,-0.078400,-0.081400,-0.073400,-0.038100,-0.075300,-0.129000,-0.128000,-0.134001,-0.128000,-0.129000,0.032367,0.032367,0.032367,0.037700,0.037700,0.037700,0.037700,0.044200,0.044200,0.041700,0.041700,0.047700,0.047700,0.130500,0.130000,0.130000,0.130000,0.130500"
COc1cc(c(c(c1O)OC)Cl)C=O,-7.78,-8.292,"c3,os,ca,ca,ca,ca,ca,ca,oh,os,c3,cl,c,o,h1,h1,h1,ha,ho,h1,h1,h1,h4","1-2,1-15,1-16,1-17,2-3,3-4,3-8,4-5,4-18,5-6,5-13,6-7,6-12,7-8,7-10,8-9,9-19,10-11,11-20,11-21,11-22,13-14,13-23","0.118700,-0.346900,0.039100,-0.110000,-0.189600,0.050400,0.080100,0.123100,-0.481100,-0.315900,0.113700,-0.061400,0.579498,-0.531100,0.051367,0.051367,0.051367,0.169000,0.444000,0.048367,0.048367,0.048367,0.019200"
c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07,-0.34,"ca,ca,ca,ca,ca,ca,c3,f,f,f,c3,f,f,f,ha,ha,ha,ha","1-2,1-6,1-15,2-3,2-16,3-4,3-11,4-5,4-17,5-6,5-7,6-18,7-8,7-9,7-10,11-12,11-13,11-14","-0.138000,-0.054000,-0.174300,-0.035000,-0.174300,-0.054000,0.691699,-0.232633,-0.232633,-0.232633,0.691699,-0.232633,-0.232633,-0.232633,0.153000,0.159000,0.171000,0.159000"
c1ccc(cc1)Cn2ccnc2,-7.63,-7.997,"ca,ca,ca,ca,ca,ca,c3,na,cc,cd,nd,cc,ha,ha,ha,ha,ha,h1,h1,h4,h4,h5","1-2,1-6,1-13,2-3,2-14,3-4,3-15,4-5,4-7,5-6,5-16,6-17,7-8,7-18,7-19,8-9,8-12,9-10,9-20,10-11,10-21,11-12,12-22","-0.120000,-0.128000,-0.113500,-0.118300,-0.113500,-0.128000,0.088600,-0.207900,-0.261600,0.291200,-0.668000,0.394400,0.135000,0.135500,0.135000,0.135000,0.135500,0.066700,0.066700,0.174000,0.041100,0.060100"
c1ccc2c(c1)cccc2N,-7.28,-7.777,"ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,nv,ha,ha,ha,ha,ha,ha,ha,hn,hn","1-2,1-6,1-12,2-3,2-13,3-4,3-14,4-5,4-10,5-6,5-7,6-15,7-8,7-16,8-9,8-17,9-10,9-18,10-11,11-19,11-20","-0.121000,-0.139000,-0.110000,-0.065000,-0.006000,-0.125000,-0.164000,-0.086000,-0.213000,0.153600,-0.819200,0.132000,0.131000,0.127000,0.133000,0.132000,0.130000,0.130000,0.389800,0.389800"
CCOC(=O)CC(=O)OCC,-6.0,-6.716,"c3,c3,os,c,o,c3,c,o,os,c3,c3,hc,hc,hc,h1,h1,hc,hc,h1,h1,hc,hc,hc","1-2,1-12,1-13,1-14,2-3,2-15,2-16,3-4,4-5,4-6,6-7,6-17,6-18,7-8,7-9,9-10,10-11,10-19,10-20,11-21,11-22,11-23","-0.127100,0.139400,-0.435900,0.646601,-0.528000,-0.184400,0.646601,-0.528000,-0.435900,0.139400,-0.127100,0.051033,0.051033,0.051033,0.065200,0.065200,0.113700,0.113700,0.065200,0.065200,0.051033,0.051033,0.051033"
CC(=O)C1CC1,-4.61,-3.043,"c3,c,o,cx,cx,cx,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-7,1-8,1-9,2-3,2-4,4-5,4-6,4-10,5-6,5-11,5-12,6-13,6-14","-0.201100,0.593100,-0.531100,-0.241700,-0.111900,-0.111900,0.063700,0.063700,0.063700,0.105700,0.076950,0.076950,0.076950,0.076950"
c1cc[nH]c1,-4.78,-4.014,"cc,cc,cd,na,cd,ha,ha,h4,hn,h4","1-2,1-5,1-6,2-3,2-7,3-4,3-8,4-5,4-9,5-10","-0.196000,-0.196000,-0.170300,-0.182100,-0.170300,0.150000,0.150000,0.162000,0.290700,0.162000"
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,-6.613,"ca,ca,ca,ca,ca,cp,cp,ca,ca,ca,ca,ca,f,f,c,o,oh,oh,ha,ha,ha,ha,ha,ha,ho,ho","1-2,1-6,1-19,2-3,2-20,3-4,3-18,4-5,4-15,5-6,5-21,6-7,7-8,7-12,8-9,8-22,9-10,9-23,10-11,10-14,11-12,11-24,12-13,15-16,15-17,17-25,18-26","-0.034000,-0.236000,0.194100,-0.171600,-0.026000,-0.092000,-0.078000,-0.075000,-0.177000,0.154900,-0.207000,0.159900,-0.133900,-0.131900,0.659700,-0.567000,-0.577100,-0.459100,0.149000,0.144000,0.165000,0.151000,0.157000,0.167000,0.441000,0.423000"
CC1CCC(CC1)C,2.11,1.918,"c3,c6,c6,c6,c6,c6,c6,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-9,1-10,1-11,2-3,2-7,2-12,3-4,3-13,3-14,4-5,4-15,4-16,5-6,5-8,5-17,6-7,6-18,6-19,7-20,7-21,8-22,8-23,8-24","-0.089601,-0.064200,-0.071900,-0.071900,-0.064200,-0.071900,-0.071900,-0.089601,0.032867,0.032867,0.032867,0.044200,0.038700,0.038700,0.038700,0.038700,0.044200,0.038700,0.038700,0.038700,0.038700,0.032867,0.032867,0.032867"
C1CCC(CC1)O,-5.46,-4.178,"c6,c6,c6,c6,c6,c6,oh,hc,hc,hc,hc,hc,hc,h1,hc,hc,hc,hc,ho","1-2,1-6,1-8,1-9,2-3,2-10,2-11,3-4,3-12,3-13,4-5,4-7,4-14,5-6,5-15,5-16,6-17,6-18,7-19","-0.079400,-0.074400,-0.109400,0.138100,-0.109400,-0.074400,-0.594800,0.040700,0.040700,0.041700,0.041700,0.046200,0.046200,0.075700,0.046200,0.046200,0.041700,0.041700,0.395000"
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43,-7.349,"c3,n3,c3,c3,c3,c2,ce,ca,ca,ca,ca,ca,ca,c3,c3,ca,ca,ca,ca,ca,ca,h1,h1,h1,h1,h1,h1,h1,h1,hc,hc,ha,ha,ha,ha,ha,hc,hc,hc,hc,ha,ha,ha,ha","1-2,1-22,1-23,1-24,2-3,2-4,3-25,3-26,3-27,4-5,4-28,4-29,5-6,5-30,5-31,6-7,6-32,7-8,7-17,8-9,8-13,9-10,9-33,10-11,10-34,11-12,11-35,12-13,12-36,13-14,14-15,14-37,14-38,15-16,15-39,15-40,16-17,16-21,17-18,18-19,18-41,19-20,19-42,20-21,20-43,21-44","0.161100,-0.748598,0.161100,0.176800,-0.090200,-0.146200,-0.018400,-0.041300,-0.118500,-0.135000,-0.125500,-0.134000,-0.058800,-0.031600,-0.031600,-0.058800,-0.041300,-0.118500,-0.135000,-0.125500,-0.134000,0.030033,0.030033,0.030033,0.030033,0.030033,0.030033,0.053200,0.053200,0.058200,0.058200,0.129000,0.133000,0.131000,0.131000,0.130000,0.052950,0.052950,0.052950,0.052950,0.133000,0.131000,0.131000,0.130000"
c1cc(ccc1O)F,-6.19,-4.955,"ca,ca,ca,ca,ca,ca,oh,f,ha,ha,ha,ha,ho","1-2,1-6,1-9,2-3,2-10,3-4,3-8,4-5,4-11,5-6,5-12,6-7,7-13","-0.161500,-0.128500,0.087900,-0.128500,-0.161500,0.111100,-0.494100,-0.141900,0.147500,0.151000,0.151000,0.147500,0.420000"
c1ccc(c(c1)N)Cl,-4.91,-4.847,"ca,ca,ca,ca,ca,ca,nv,cl,ha,ha,ha,ha,hn,hn","1-2,1-6,1-9,2-3,2-10,3-4,3-11,4-5,4-8,5-6,5-7,6-12,7-13,7-14","-0.088000,-0.170000,-0.083000,-0.051600,0.159600,-0.189000,-0.824200,-0.106400,0.133000,0.137000,0.145000,0.135000,0.401300,0.401300"
Cc1ccc(c(c1)C)C,-0.86,-0.795,"c3,ca,ca,ca,ca,ca,ca,c3,c3,hc,hc,hc,ha,ha,ha,hc,hc,hc,hc,hc,hc","1-2,1-10,1-11,1-12,2-3,2-7,3-4,3-13,4-5,4-14,5-6,5-9,6-7,6-8,7-15,8-16,8-17,8-18,9-19,9-20,9-21","-0.052800,-0.079300,-0.135000,-0.123000,-0.082300,-0.074300,-0.127000,-0.051800,-0.050800,0.043033,0.043033,0.043033,0.130000,0.129000,0.130000,0.043367,0.043367,0.043367,0.042700,0.042700,0.042700"
CCc1ccccc1C,-0.85,-0.761,"c3,c3,ca,ca,ca,ca,ca,ca,c3,hc,hc,hc,hc,hc,ha,ha,ha,ha,hc,hc,hc","1-2,1-10,1-11,1-12,2-3,2-13,2-14,3-4,3-8,4-5,4-15,5-6,5-16,6-7,6-17,7-8,7-18,8-9,9-19,9-20,9-21","-0.089100,-0.039100,-0.076300,-0.126000,-0.134000,-0.130000,-0.129000,-0.073300,-0.052800,0.035700,0.035700,0.035700,0.046200,0.046200,0.130000,0.130000,0.130000,0.129000,0.043700,0.043700,0.043700"
C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75,-3.344,"c3,c6,c6,c6,c6,c6,c,o,c2,c2,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,ha,ha,hc,hc,hc","1-2,1-12,1-13,1-14,2-3,2-7,2-15,3-4,3-16,3-17,4-5,4-18,4-19,5-6,5-9,5-20,6-7,6-21,6-22,7-8,9-10,9-11,10-23,10-24,11-25,11-26,11-27","-0.086100,-0.163700,-0.071400,-0.077400,-0.022500,-0.177400,0.571099,-0.529100,-0.112400,-0.222000,-0.061900,0.043367,0.043367,0.043367,0.068700,0.048700,0.048700,0.048200,0.048200,0.058700,0.071700,0.071700,0.113500,0.113500,0.043700,0.043700,0.043700"
c1ccc(cc1)c2ccccc2,-2.7,-3.143,"ca,ca,ca,cp,ca,ca,cp,ca,ca,ca,ca,ca,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha","1-2,1-6,1-13,2-3,2-14,3-4,3-15,4-5,4-7,5-6,5-16,6-17,7-8,7-12,8-9,8-18,9-10,9-19,10-11,10-20,11-12,11-21,12-22","-0.128000,-0.131000,-0.119000,-0.037000,-0.119000,-0.131000,-0.037000,-0.119000,-0.131000,-0.128000,-0.131000,-0.119000,0.131000,0.132000,0.135000,0.135000,0.132000,0.135000,0.132000,0.131000,0.132000,0.135000"
Cc1cccc(c1C)O,-6.16,-5.148,"c3,ca,ca,ca,ca,ca,ca,c3,oh,hc,hc,hc,ha,ha,ha,hc,hc,hc,ho","1-2,1-10,1-11,1-12,2-3,2-7,3-4,3-13,4-5,4-14,5-6,5-15,6-7,6-9,7-8,8-16,8-17,8-18,9-19","-0.055800,-0.037300,-0.164000,-0.098000,-0.160000,0.127100,-0.157300,-0.056800,-0.501101,0.045700,0.045700,0.045700,0.132000,0.133000,0.149000,0.044367,0.044367,0.044367,0.419000"
